accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
5.051249,-8.595617,-2.019542,-5.003902,1.746464,-5.003902
-9.000004,4.495516,-2.567499,5.003902,1.107804,0.993267
-1.514059,-1.371087,-9.526424,-5.003902,-4.692972,4.873177
3.542574,8.621939,-2.678765,2.187661,-1.038624,-1.616655
11.842079,-3.643072,-6.881758,-0.636216,-4.968625,3.702607
0.642473,-2.341975,6.892525,-2.884047,-0.516181,-4.625013
-9.113663,6.370292,4.686942,-0.867123,1.051452,-1.746311
2.753541,6.196813,7.425527,1.565800,0.763582,-5.003902
2.216950,9.285349,4.202993,0.135918,-0.924697,-4.270101
-0.365504,2.611168,9.570094,2.982091,-0.589485,0.149815
-4.946562,6.806384,-5.150551,-1.363757,-1.149648,-2.360994
4.540979,7.165308,2.655435,-0.582918,3.277445,-4.447862
-6.893124,-3.658626,-4.963313,1.723556,3.907552,-1.532508
-4.044468,-6.483353,-6.310472,2.109623,-0.891711,-0.924086
9.448061,-2.793022,-0.437288,-1.015716,-2.625957,-3.443753
-3.318247,-1.512264,-10.899905,-0.754877,3.072041,-3.344945
2.035694,-3.114259,-2.761915,-0.428827,-0.419817,1.472796
-1.424328,0.287737,-9.593425,0.508087,0.695776,-3.111900
5.894121,-8.840283,-1.873580,1.181413,-0.109039,-0.581696
4.859823,-8.203793,3.571886,0.831540,1.802969,0.174860
6.386444,-1.118046,-4.305884,0.044899,-0.230602,0.071013
-4.350750,5.511269,-7.453044,-1.165531,1.698969,0.217315
-4.862216,-8.969496,-2.286342,-0.182649,-1.694235,-1.951409
5.039285,4.451847,-2.060819,-0.635300,1.278694,-4.982369
8.080563,1.238286,1.697708,-0.685391,5.003902,-1.478905
11.212768,-2.207977,-10.264013,-2.200031,-3.897167,-2.905275
3.349952,-9.685548,-5.772685,-0.738841,1.967444,3.113275
4.518846,3.708875,-19.580467,-2.999348,-0.006109,1.850158
8.873783,4.502694,-0.750748,-5.003902,4.547128,3.391371
9.077770,-6.415756,10.737193,-4.800942,-2.142610,-1.223868
10.629517,-0.169890,6.742376,-5.003902,-5.003902,0.752433
