accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
4.406981,1.744966,9.004790,0.042913,-0.131489,-0.085827
4.350152,1.892125,8.953343,0.048717,-0.138514,-0.085827
4.435097,2.235495,8.775079,-0.620792,-0.439212,-1.409419
4.450650,2.043471,8.897112,0.038332,-0.128282,-0.083383
4.461418,1.361516,9.230313,-0.408211,-0.370490,-0.988075
4.296911,1.897508,8.984451,0.049633,-0.140346,-0.086437
4.295117,1.898705,8.971290,0.050091,-0.137750,-0.086437
4.221537,1.793421,9.023932,0.040928,-0.125991,-0.083383
4.282554,1.843072,9.001799,0.051007,-0.140041,-0.084605
4.266403,1.784448,9.009575,0.049938,-0.138514,-0.086743
4.269393,1.794019,9.016754,0.049327,-0.137445,-0.085521
4.581059,1.800599,8.881559,0.163101,-0.283594,-0.110108
4.367499,1.784448,8.968898,0.047953,-0.139277,-0.087048
4.368098,1.794019,8.961122,0.050396,-0.140804,-0.085063
4.395017,1.844866,8.944371,0.050091,-0.139735,-0.087048
4.191627,1.822134,9.194421,-0.767247,-0.505949,-1.679269
4.342973,1.907678,8.960523,0.050091,-0.140652,-0.085216
4.301697,1.895714,8.977871,0.059865,-0.153174,-0.088423
4.286144,1.893919,8.974281,0.049786,-0.139277,-0.086437
4.392026,2.322833,8.810373,-0.422261,-0.361785,-1.027323
4.256233,1.820938,9.018549,0.049786,-0.138666,-0.087354
4.263412,1.798206,9.006585,0.049786,-0.139277,-0.085674
4.261019,1.795215,9.013762,0.049633,-0.139735,-0.084147
4.272385,1.791626,9.006585,0.049633,-0.138972,-0.086285
4.400401,1.813161,8.959326,0.060323,-0.140346,-0.086590
4.296911,1.770091,8.998808,0.046731,-0.136528,-0.085521
4.337589,1.846661,8.977272,0.051924,-0.140041,-0.084299
